name,faith,adjustment
Canvas Talisman,14,122
Canvas Talisman,15,124
Canvas Talisman,16,130
Canvas Talisman,17,136
Canvas Talisman,18,142
Canvas Talisman,19,148
Canvas Talisman,20,154
Canvas Talisman,21,155
Canvas Talisman,22,157
Canvas Talisman,23,159
Canvas Talisman,24,161
Canvas Talisman,25,163
Canvas Talisman,26,164
Canvas Talisman,27,166
Canvas Talisman,28,168
Canvas Talisman,29,170
Canvas Talisman,30,172
Canvas Talisman,31,173
Canvas Talisman,32,175
Canvas Talisman,33,177
Canvas Talisman,34,179
Canvas Talisman,35,181
Canvas Talisman,36,182
Canvas Talisman,37,184
Canvas Talisman,38,186
Canvas Talisman,39,188
Canvas Talisman,40,190
Canvas Talisman,41,191
Canvas Talisman,42,193
Canvas Talisman,43,195
Canvas Talisman,44,197
Canvas Talisman,45,199
Canvas Talisman,46,200
Canvas Talisman,47,202
Canvas Talisman,48,204
Canvas Talisman,49,206
Canvas Talisman,50,208
Canvas Talisman,51,208
Canvas Talisman,52,208
Canvas Talisman,53,208
Canvas Talisman,54,208
Canvas Talisman,55,209
Canvas Talisman,56,209
Canvas Talisman,57,209
Canvas Talisman,58,209
Canvas Talisman,59,209
Canvas Talisman,60,210
Canvas Talisman,61,210
Canvas Talisman,62,210
Canvas Talisman,63,211
Canvas Talisman,64,211
Canvas Talisman,65,211
Canvas Talisman,66,211
Canvas Talisman,67,212
Canvas Talisman,68,212
Canvas Talisman,69,212
Canvas Talisman,70,212
Canvas Talisman,71,213
Canvas Talisman,72,213
Canvas Talisman,73,213
Canvas Talisman,74,213
Canvas Talisman,75,214
Canvas Talisman,76,214
Canvas Talisman,77,214
Canvas Talisman,78,214
Canvas Talisman,79,215
Canvas Talisman,80,215
Canvas Talisman,81,215
Canvas Talisman,82,215
Canvas Talisman,83,216
Canvas Talisman,84,216
Canvas Talisman,85,216
Canvas Talisman,86,216
Canvas Talisman,87,217
Canvas Talisman,88,217
Canvas Talisman,89,217
Canvas Talisman,90,217
Canvas Talisman,91,217
Canvas Talisman,92,218
Canvas Talisman,93,218
Canvas Talisman,94,218
Canvas Talisman,95,219
Canvas Talisman,96,219
Canvas Talisman,97,219
Canvas Talisman,98,219
Canvas Talisman,99,220
Darkmoon Talisman,24,100
Darkmoon Talisman,25,100
Darkmoon Talisman,26,111
Darkmoon Talisman,27,122
Darkmoon Talisman,28,133
Darkmoon Talisman,29,144
Darkmoon Talisman,30,156
Darkmoon Talisman,31,159
Darkmoon Talisman,32,163
Darkmoon Talisman,33,166
Darkmoon Talisman,34,170
Darkmoon Talisman,35,173
Darkmoon Talisman,36,177
Darkmoon Talisman,37,180
Darkmoon Talisman,38,184
Darkmoon Talisman,39,187
Darkmoon Talisman,40,191
Darkmoon Talisman,41,194
Darkmoon Talisman,42,198
Darkmoon Talisman,43,201
Darkmoon Talisman,44,205
Darkmoon Talisman,45,208
Darkmoon Talisman,46,211
Darkmoon Talisman,47,215
Darkmoon Talisman,48,219
Darkmoon Talisman,49,222
Darkmoon Talisman,50,226
Darkmoon Talisman,51,226
Darkmoon Talisman,52,226
Darkmoon Talisman,53,226
Darkmoon Talisman,54,227
Darkmoon Talisman,55,227
Darkmoon Talisman,56,227
Darkmoon Talisman,57,228
Darkmoon Talisman,58,228
Darkmoon Talisman,59,228
Darkmoon Talisman,60,228
Darkmoon Talisman,61,229
Darkmoon Talisman,62,229
Darkmoon Talisman,63,229
Darkmoon Talisman,64,230
Darkmoon Talisman,65,230
Darkmoon Talisman,66,230
Darkmoon Talisman,67,230
Darkmoon Talisman,68,231
Darkmoon Talisman,69,231
Darkmoon Talisman,70,231
Darkmoon Talisman,71,232
Darkmoon Talisman,72,232
Darkmoon Talisman,73,232
Darkmoon Talisman,74,232
Darkmoon Talisman,75,233
Darkmoon Talisman,76,233
Darkmoon Talisman,77,233
Darkmoon Talisman,78,234
Darkmoon Talisman,79,234
Darkmoon Talisman,80,234
Darkmoon Talisman,81,234
Darkmoon Talisman,82,235
Darkmoon Talisman,83,235
Darkmoon Talisman,84,235
Darkmoon Talisman,85,236
Darkmoon Talisman,86,236
Darkmoon Talisman,87,236
Darkmoon Talisman,88,236
Darkmoon Talisman,89,237
Darkmoon Talisman,90,237
Darkmoon Talisman,91,237
Darkmoon Talisman,92,238
Darkmoon Talisman,93,238
Darkmoon Talisman,94,238
Darkmoon Talisman,95,238
Darkmoon Talisman,96,239
Darkmoon Talisman,97,239
Darkmoon Talisman,98,239
Darkmoon Talisman,99,240
Ivory Talisman,16,102
Ivory Talisman,17,105
Ivory Talisman,18,108
Ivory Talisman,19,110
Ivory Talisman,20,113
Ivory Talisman,21,117
Ivory Talisman,22,120
Ivory Talisman,23,124
Ivory Talisman,24,127
Ivory Talisman,25,131
Ivory Talisman,26,135
Ivory Talisman,27,138
Ivory Talisman,28,142
Ivory Talisman,29,145
Ivory Talisman,30,149
Ivory Talisman,31,153
Ivory Talisman,32,156
Ivory Talisman,33,160
Ivory Talisman,34,163
Ivory Talisman,35,167
Ivory Talisman,36,171
Ivory Talisman,37,174
Ivory Talisman,38,178
Ivory Talisman,39,181
Ivory Talisman,40,185
Ivory Talisman,41,189
